KOI name	KIC	t0[BKJD]	E_t0[BKJD]	e_t0[BKJD]	P[days]	E_P[days]	e_P[days]	b	E_b	e_b	log10rhostar[kg/m^3]	E_log10rhostar[kg/m^3]	e_log10rhostar[kg/m^3]	Rp/R*	E_Rp/R*	e_Rp/R*	sqrt(e)cos(omega)	E_sqrt(e)cos(omega)	e_sqrt(e)cos(omega)	sqrt(e)sin(omega)	E_sqrt(e)sin(omega)	e_sqrt(e)sin(omega)	alpha_r	E_alpha_r	e_alpha_r	alpha_h	E_alpha_h	e_alpha_h	alpha_theta	E_alpha_theta	e_alpha_theta
809.01	3935914	170.64828	7e-05	0.00186	1.5947455	1e-07	1e-07	0.67	0.04	0.02	3.1	0.03	0.02	0.13	0.002	0.002	-0.02	0.07	0.56	-0.03	0.08	0.15	0.3	0.4	0.2	0.5	0.3	0.2	0.22	0.31	0.08
1064.01	8218274	133.49	0.21	0.09	1.187	0.005	0.005	0.8	0.3	0.1	1.97	0.55	0.08	0.5	0.2	0.3	0.0	0.3	0.2	-0.1	0.2	0.2	0.7	0.3	0.2	0.6	0.3	0.3	0.25	0.34	0.09
1075.01	10232123	133.2764	0.0004	0.0007	1.3437661	6e-08	7e-08	1.91	0.02	0.04	2.437	0.007	0.011	0.98	0.01	0.04	-0.01	0.03	0.04	-0.1	0.02	0.02	0.8	0.2	0.4	4e-05	0.00094	4e-05	0.07	0.86	0.05
1658.01	4570949	133.54889	0.00016	6e-05	1.5449288	1e-07	3e-07	0.495	0.053	0.001	3.673	0.002	0.819	0.0687	0.002	0.0002	-0.08	0.02	0.04	0.424	0.0007	0.1442	8e-05	0.35166	8e-05	0.513	0.003	0.144	0.57	0.03	0.09
2925.01	6974658	131.721	0.006	0.003	0.716532	2e-06	3e-06	1.0	0.4	0.7	3.7	0.7	1.5	0.017	0.396	0.009	0.01	0.05	0.06	-0.02	0.07	0.07	0.5	0.3	0.3	0.5	0.3	0.3	0.6	0.3	0.4
3913.01	10281221	131.621	0.0007	0.0006	0.5828955	3e-07	3e-07	1.1	0.6	0.8	2.8	1.1	0.4	0.1	0.6	0.1	0.0	0.06	0.06	0.0	0.06	0.06	0.6	0.3	0.4	0.6	0.3	0.3	0.7	0.2	0.5
4351.01	5436161	131.9546	0.0009	0.0008	0.6443225	2e-07	2e-07	1.4	0.4	0.4	2.8	0.3	0.3	0.5	0.4	0.4	0.05	0.11	0.08	-0.04	0.1	0.09	0.7	0.3	0.5	0.9	0.1	0.3	0.6	0.3	0.3
5157.01	5391911	131.88	0.04	0.13	0.781	0.002	0.007	1.2	0.3	0.8	2.2	2.0	0.4	0.3	0.3	0.3	-0.01	0.07	0.08	-0.07	0.08	0.07	0.5	0.3	0.3	0.6	0.3	0.3	0.6	0.2	0.4
5353.01	7107567	131.557	0.001	0.002	0.8125923	7e-07	8e-07	1.4	0.3	0.8	2.7	0.1	0.1	0.5	0.3	0.5	-0.05	0.08	0.39	-0.1	0.8	0.1	0.6	0.3	0.3	0.4	0.4	0.3	0.5	0.4	0.5
6918.01	7811211	131.8273	0.0002	0.0002	0.90240423	9e-08	1e-07	0.91	0.01	0.02	2.56	0.07	0.04	0.075	0.006	0.004	0.01	0.06	0.06	-0.02	0.07	0.08	0.5	0.3	0.3	0.4	0.3	0.2	0.6	0.3	0.2
7259.01	9944201	131.7094	0.0004	0.0001	0.72152254	3e-08	3e-08	0.85	0.2	0.06	3.07	0.06	0.06	0.171	0.118	0.003	0.08	0.07	0.08	-0.09	0.1	0.09	0.7	0.2	0.3	0.5	0.4	0.5	0.5	0.2	0.2
7430.01	11282568	132.618	0.007	0.006	1.320489	4e-06	3e-06	1.4	0.3	0.3	1.8	0.4	0.3	0.4	0.3	0.4	0.02	0.07	0.07	-0.04	0.09	0.08	0.5	0.3	0.3	0.7	0.2	0.3	0.6	0.2	0.3
7449.01	11495989	132.62	0.03	0.14	1.3245	0.0029	0.0006	1.2	0.8	0.3	1.4	0.5	0.2	0.4	0.6	0.3	0.03	0.15	0.08	-0.0	0.3	0.2	0.3	0.6	0.3	0.71	0.09	0.44	0.6	0.1	0.2
