t0[BKJD]	P[days]	b	log10rhostar[kg/m^3]	Rp/R*	sqrt(e)cos(omega)	sqrt(e)sin(omega)	alpha_r	alpha_h	alpha_theta
140.162361134000 12.208950944700 0.566896816909 0.991255779798 0.078579311290 0.288906877141 0.874244641945 0.699283632509 0.491331471285 0.589226518312
140.540027809000 12.200483562800 0.296841275552 4.329984053860 0.110050633366 0.150496590333 0.976891140000 0.211145414224 0.268503871277 0.637231514424
140.127169129000 12.197479734400 0.101499611405 2.814605316750 0.134594962581 -0.168614362493 0.553991624087 0.735170373836 0.184352513777 0.087784524724
140.243812798000 12.206101299700 0.630040756318 4.799555737040 0.065063838956 -0.157857279348 0.440992430461 0.834855683501 0.189026417648 0.125846167231
140.116411650000 12.196907934700 0.084203527797 2.785275330860 0.127287838467 -0.171800340307 0.574441274796 0.744906438792 0.180681224632 0.081785360830
140.161012041000 12.207676362900 0.539624518804 0.835635371565 0.028435366815 0.292235958973 0.933773306448 0.710852414143 0.494567462658 0.604010264578
140.210886192000 12.206681468300 0.501540247264 1.707179881990 0.025277507316 0.259623615522 0.874217638862 0.677235690441 0.415410061930 0.542979931032
140.116411650000 12.196907934700 0.084203527797 2.785275330860 0.127287838467 -0.171800340307 0.574441274796 0.744906438792 0.180681224632 0.081785360830
140.210886192000 12.206681468300 0.501540247264 1.707179881990 0.025277507316 0.259623615522 0.874217638862 0.677235690441 0.415410061930 0.542979931032
140.261138093000 12.209884950400 0.659880911804 4.378056015780 0.055012187581 -0.181581926252 0.414589371178 0.800964437684 0.330957653251 0.219573469118
140.026595608000 12.203341448100 0.738148824071 3.404313763260 0.095008049140 -0.028369850818 0.948378480442 0.735317007265 0.338311159603 0.614612032714
140.201500929000 12.197175235900 0.051103803540 3.814185099870 0.043316386426 -0.096524105731 0.608914380823 0.698560187450 0.121493606258 0.077337224536
140.231963588000 12.198091583900 0.098289788291 4.003949902970 0.041893225394 -0.071469640978 0.610759485591 0.667236619177 0.128759073239 0.114431714515
140.267711474000 12.204708359300 0.404588415816 3.129741555570 0.052203792109 0.045947457286 0.628624570571 0.731708086594 0.249151138801 0.232824136360
140.302234746000 12.200535702000 0.233603253880 2.619476789240 0.057515275094 0.095598793208 0.767948897190 0.645869918762 0.182138779941 0.290907420276
140.302234746000 12.200535702000 0.233603253880 2.619476789240 0.057515275094 0.095598793208 0.767948897190 0.645869918762 0.182138779941 0.290907420276
140.302234746000 12.200535702000 0.233603253880 2.619476789240 0.057515275094 0.095598793208 0.767948897190 0.645869918762 0.182138779941 0.290907420276
140.244864707000 12.202847935400 0.549399630007 3.642477506770 0.084653980257 0.040553961459 0.928193062516 0.606378742097 0.295243066821 0.539331082071
140.378534253000 12.201503317100 0.291143643186 4.706717815800 0.022017712640 -0.140357154304 0.705784868617 0.562841474237 0.174166132668 0.337677735170
140.197124272000 12.200717788000 0.400646967444 3.856866624810 0.062858015326 -0.060923769586 0.798993443747 0.695642416914 0.199646318306 0.346141574600
140.220899979000 12.206401135500 0.642795982981 4.627060003710 0.042229079402 -0.038522243047 0.718370883368 0.681801122256 0.320177246297 0.394677005880
140.258538778000 12.204961789500 0.367879562781 2.527723574470 0.034072519132 0.047734557717 0.858735173543 0.714245229404 0.316596705010 0.376567499882
140.303970269000 12.208830225700 0.580007650372 4.569867561230 0.032084571673 -0.022882934133 0.547700129576 0.712289743594 0.296516610950 0.246767433643
140.246702607000 12.201013794800 0.413982946891 4.264966367660 0.056645118648 -0.134580341427 0.792531051115 0.615297790144 0.202913662799 0.405459749352
140.246702607000 12.201013794800 0.413982946891 4.264966367660 0.056645118648 -0.134580341427 0.792531051115 0.615297790144 0.202913662799 0.405459749352
140.248511635000 12.209493723600 0.562853241444 4.189812599150 0.027872855786 -0.139213422904 0.839180987127 0.775960233232 0.368362065381 0.327869991393
140.237311569000 12.200249385000 0.297737703483 3.405301030090 0.049567887853 -0.004361171070 0.777799629930 0.693812910684 0.170975770134 0.283904679171
140.266674946000 12.203841403600 0.334319893320 2.735792068040 0.041812557836 0.010571222268 0.808761042821 0.687100069802 0.283678505766 0.355421071227
140.248577406000 12.209501521700 0.563718362373 4.187998520240 0.028374618972 -0.139073744804 0.838381707227 0.775569662063 0.368474277224 0.328316320372
140.276650769000 12.206485763100 0.545694560347 4.531183492790 0.022293809685 0.125264478982 0.679527455463 0.636253585134 0.284249435951 0.342523771585
140.392366185000 12.200980514400 0.181460170322 3.416893012430 0.027700956312 0.105356428829 0.706955233393 0.625298694095 0.111342196924 0.191527388548
140.338140431000 12.200940280900 0.178378170083 3.163139053930 0.033408907815 0.007644377098 0.678354559623 0.646069146375 0.156108506142 0.215681681501
140.336272442000 12.199914260800 0.068690445974 2.195658979960 0.036920580979 0.115742585961 0.649350364441 0.678786914025 0.125832547116 0.133479438092
140.330421017000 12.205008450100 0.371840744130 3.648159964480 0.035479478851 0.047501540804 0.533922809417 0.689701463043 0.210838968785 0.181908836241
140.244746711000 12.196688913200 0.086980250905 2.384491417970 0.059460735114 -0.043584617991 0.799712022068 0.723447471471 0.096778615856 0.207482629057
140.255313474000 12.208027067400 0.435416313689 3.267901716940 0.026262104477 -0.049050109913 0.847339784173 0.761630284449 0.339613863796 0.328492695412
140.286814246000 12.202426382200 0.266515205343 2.650699114920 0.036999472027 0.033019225579 0.854491278079 0.667619334214 0.248356318255 0.350897468822
140.261263568000 12.204610965700 0.438590671628 3.531684446680 0.039443062177 -0.004314580298 0.781918423620 0.680236118767 0.284364531885 0.359889616492
